char_id,name,normalized_name,gender,Simpson_fam
632,Millicent,millicent,f,False
633,Female Clerk,female clerk,f,False
634,Kevin,kevin,u,False
635,Johnny Carson,johnny carson,m,False
636,Scoey,scoey,m,False
637,Teenage Clerk,teenage clerk,u,False
638,Football Announcer,football announcer,m,False
639,DAVE JR.,dave jr,m,False
640,Official,official,u,False
641,Voice From Trunk,voice from trunk,u,False
642,Ronnie,ronnie,m,False
643,DREDERICK,drederick,m,False
644,Wanda,wanda,f,False
645,Becky,becky,f,False
646,Girls,girls,f,False
647,Patron #1,patron 1,u,False
648,Patron #2,patron 2,u,False
649,Collette,collette,f,False
650,HARV,harv,m,False
651,Bernard,bernard,m,False
652,Aide,aide,m,False
653,Aerosmith,aerosmith,m,False
654,Steven Tyler,steven tyler,m,False
655,Joe Perry,joe perry,m,False
656,Brad Whitford,brad whitford,m,False
657,HUGH,hugh,m,False
658,Everyone,everyone,u,False
659,Bartender,bartender,u,False
660,One-eyed Bartender,one-eyed bartender,u,False
661,Flowers,flowers,u,False
662,Tom Hamilton,tom hamilton,m,False
663,Joey Kramer,joey kramer,m,False
664,Snappy,snappy,u,False
665,Broker,broker,u,False
666,Hans,hans,m,False
667,Fritz,fritz,m,False
668,Charlie,charlie,m,False
669,Horst,horst,m,False
670,German Teacher,german teacher,m,False
671,Boxer,boxer,u,False
672,Mr. Thorson,mr thorson,m,False
673,Angel,angel,u,False
674,Patient,patient,u,False
675,Justice Of The Peace,justice of the peace,u,False
676,Groom,groom,m,False
677,Applicant #1,applicant 1,u,False
678,Applicant #2,applicant 2,u,False
679,Applicants,applicants,u,False
680,Tourist Kid,tourist kid,u,False
681,Tourist Dad,tourist dad,m,False
682,Boss,boss,u,False
683,Elderly Lady,elderly lady,f,False
684,Repo Man,repo man,m,False
685,Driver,driver,u,False
686,M.C.,mc,u,False
687,Boy,boy,u,False
688,Operator,operator,u,False
689,Barber,barber,u,False
690,Rosarita,rosarita,u,False
691,Weasel,weasel,u,False
